Distrito,Ano,Populacao
Lisboa,2024,2390715
Porto,2024,1860255
Setúbal,2024,916859
Braga,2024,867537
Aveiro,2024,734762
Faro,2024,492747
Leiria,2024,486583
Santarém,2024,446393
Coimbra,2024,423432
Viseu,2024,357841
Madeira,2024,259440
Açores,2024,241718
VianadoCastelo,2024,234645
VilaReal,2024,184707
CasteloBranco,2024,180889
Évora,2024,153430
Beja,2024,149546
Guarda,2024,142210
Bragança,2024,122360
Portalegre,2024,103566
Portugal,2024,10749635
Lisboa,2023,2355867
Porto,2023,1846178
Setúbal,2023,902863
Braga,2023,863547
Aveiro,2023,725461
Faro,2023,484122
Leiria,2023,479261
Santarém,2023,441255
Coimbra,2023,418136
Viseu,2023,355309
Madeira,2023,256622
Açores,2023,241025
VianadoCastelo,2023,234215
VilaReal,2023,185086
CasteloBranco,2023,179608
Évora,2023,153475
Beja,2023,148881
Guarda,2023,141995
Bragança,2023,122739
Portalegre,2023,104081
Portugal,2023,10639726
Lisboa,2022,2321239
Porto,2022,1825192
Setúbal,2022,891652
Braga,2022,856089
Aveiro,2022,714615
Faro,2022,478618
Leiria,2022,470090
Santarém,2022,435500
Coimbra,2022,412878
Viseu,2022,352017
Madeira,2022,254070
Açores,2022,240125
VianadoCastelo,2022,232674
VilaReal,2022,184698
CasteloBranco,2022,178260
Évora,2022,153155
Beja,2022,147446
Guarda,2022,141626
Bragança,2022,122373
Portalegre,2022,104304
Portugal,2022,10516621
Lisboa,2021,2287869
Porto,2021,1803223
Setúbal,2021,882588
Braga,2021,850128
Aveiro,2021,708902
Faro,2021,469983
Leiria,2021,465169
Santarém,2021,431633
Coimbra,2021,411510
Viseu,2021,352720
Madeira,2021,252693
Açores,2021,238794
VianadoCastelo,2021,231882
VilaReal,2021,185148
CasteloBranco,2021,178664
Évora,2021,153507
Beja,2021,146353
Guarda,2021,142868
Bragança,2021,122452
Portalegre,2021,105031
Portugal,2021,10421117
Lisboa,2020,2286240
Porto,2020,1792631
Setúbal,2020,880218
Braga,2020,849547
Aveiro,2020,703994
Faro,2020,469892
Leiria,2020,461083
Santarém,2020,427502
Coimbra,2020,410830
Viseu,2020,353167
Madeira,2020,251900
Açores,2020,237616
VianadoCastelo,2020,232444
VilaReal,2020,186469
CasteloBranco,2020,178870
Évora,2020,153398
Beja,2020,145380
Guarda,2020,143964
Bragança,2020,123476
Portalegre,2020,105676
Portugal,2020,10394297
Lisboa,2019,2292204
Porto,2019,1794995
Setúbal,2019,870130
Braga,2019,844782
Aveiro,2019,701611
Faro,2019,465610
Leiria,2019,457060
Santarém,2019,424719
Coimbra,2019,411305
Viseu,2019,352487
Madeira,2019,250713
Açores,2019,237113
VianadoCastelo,2019,232024
VilaReal,2019,187253
CasteloBranco,2019,179162
Évora,2019,153874
Beja,2019,144859
Guarda,2019,144652
Bragança,2019,124618
Portalegre,2019,106224
Portugal,2019,10375395
Lisboa,2018,2272417
Porto,2018,1789353
Setúbal,2018,862886
Braga,2018,839750
Aveiro,2018,698564
Faro,2018,459597
Leiria,2018,455395
Santarém,2018,425389
Coimbra,2018,411125
Viseu,2018,352928
Madeira,2018,250397
Açores,2018,237828
VianadoCastelo,2018,231985
VilaReal,2018,188563
CasteloBranco,2018,179979
Évora,2018,154671
Beja,2018,144173
Guarda,2018,145919
Bragança,2018,125249
Portalegre,2018,107328
Portugal,2018,10333496
Lisboa,2017,2264699
Porto,2017,1787706
Setúbal,2017,860213
Braga,2017,837525
Aveiro,2017,698351
Faro,2017,456113
Leiria,2017,456650
Santarém,2017,428358
Coimbra,2017,412970
Viseu,2017,355151
Madeira,2017,251077
Açores,2017,238964
VianadoCastelo,2017,232818
VilaReal,2017,190271
CasteloBranco,2017,181566
Évora,2017,155954
Beja,2017,144758
Guarda,2017,147836
Bragança,2017,126210
Portalegre,2017,108580
Portugal,2017,10335770
Lisboa,2016,2255301
Porto,2016,1787443
Setúbal,2016,857719
Braga,2016,836634
Aveiro,2016,698949
Faro,2016,453300
Leiria,2016,458271
Santarém,2016,432015
Coimbra,2016,415273
Viseu,2016,357725
Madeira,2016,252313
Açores,2016,240108
VianadoCastelo,2016,234026
VilaReal,2016,191988
CasteloBranco,2016,183241
Évora,2016,157483
Beja,2016,145706
Guarda,2016,149823
Bragança,2016,127219
Portalegre,2016,109941
Portugal,2016,10344478
Lisboa,2015,2249708
Porto,2015,1789527
Setúbal,2015,856479
Braga,2015,836797
Aveiro,2015,700812
Faro,2015,451679
Leiria,2015,460315
Santarém,2015,435867
Coimbra,2015,417741
Viseu,2015,360872
Madeira,2015,254521
Açores,2015,241653
VianadoCastelo,2015,235418
VilaReal,2015,194131
CasteloBranco,2015,185203
Évora,2015,159083
Beja,2015,146748
Guarda,2015,151992
Bragança,2015,128418
Portalegre,2015,111590
Portugal,2015,10368554
Lisboa,2014,2242599
Porto,2014,1793496
Setúbal,2014,855571
Braga,2014,838134
Aveiro,2014,703106
Faro,2014,449965
Leiria,2014,462126
Santarém,2014,439485
Coimbra,2014,420004
Viseu,2014,363951
Madeira,2014,257617
Açores,2014,243271
VianadoCastelo,2014,236900
VilaReal,2014,196271
CasteloBranco,2014,187179
Évora,2014,160560
Beja,2014,147854
Guarda,2014,154055
Bragança,2014,129854
Portalegre,2014,113123
Portugal,2014,10395121
Lisboa,2013,2238940
Porto,2013,1801717
Setúbal,2013,855316
Braga,2013,841772
Aveiro,2013,706972
Faro,2013,449952
Leiria,2013,465350
Santarém,2013,444108
Coimbra,2013,423265
Viseu,2013,367929
Madeira,2013,261748
Açores,2013,245336
VianadoCastelo,2013,239116
VilaReal,2013,198964
CasteloBranco,2013,189475
Évora,2013,162372
Beja,2013,149141
Guarda,2013,156331
Bragança,2013,131442
Portalegre,2013,114846
Portugal,2013,10444092
Lisboa,2012,2242912
Porto,2012,1809885
Setúbal,2012,857420
Braga,2012,845486
Aveiro,2012,711155
Faro,2012,451078
Leiria,2012,468865
Santarém,2012,448991
Coimbra,2012,426842
Viseu,2012,371984
Madeira,2012,264650
Açores,2012,246424
VianadoCastelo,2012,241269
VilaReal,2012,201698
CasteloBranco,2012,192044
Évora,2012,164157
Beja,2012,150670
Guarda,2012,158722
Bragança,2012,133121
Portalegre,2012,116516
Portugal,2012,10503889
Lisboa,2011,2245962
Porto,2011,1817425
Setúbal,2011,858940
Braga,2011,848861
Aveiro,2011,714896
Faro,2011,452321
Leiria,2011,472053
Santarém,2011,453429
Coimbra,2011,430261
Viseu,2011,375857
Madeira,2011,267394
Açores,2011,247095
VianadoCastelo,2011,243380
VilaReal,2011,204474
CasteloBranco,2011,194541
Évora,2011,165766
Beja,2011,152170
Guarda,2011,161144
Bragança,2011,134780
Portalegre,2011,118201
Portugal,2011,10558950
